MainThread | __main__.py | 76 | 2021-02-14 21:08:54,354 | INFO | CLIENT_ENV: development
MAIN | __main__.py | 52 | 2021-02-14 21:08:54,355 | INFO | 
Connecting XRPL Sockets
MAIN | xrpl_socket.py | 37 | 2021-02-14 21:08:54,355 | INFO | Data Resetted
MAIN | websocket_manager.py | 41 | 2021-02-14 21:08:54,355 | INFO | Connecting...
MainThread | _internal.py | 113 | 2021-02-14 21:08:54,370 | INFO |  * Running on http://0.0.0.0:9000/ (Press CTRL+C to quit)
XRPL_MAIN | xrpl_socket.py | 47 | 2021-02-14 21:08:55,249 | INFO | Connected --> 
XRPL_MAIN | xrpl_socket.py | 37 | 2021-02-14 21:08:55,249 | INFO | Data Resetted
XRPL_MAIN | xrpl_socket.py | 126 | 2021-02-14 21:08:55,354 | INFO | Ping Resolved: {'id': 'Opening Ping', 'result': {}, 'status': 'success', 'type': 'response'}
MAIN | __main__.py | 58 | 2021-02-14 21:08:56,262 | INFO | Subscribe to Book Offers
MAIN | xrpl_socket.py | 163 | 2021-02-14 21:08:56,263 | ERROR | KeyError('books')
XRPL_MAIN | xrpl_socket.py | 181 | 2021-02-14 21:08:56,369 | INFO | Subscribed: {'id': '3dbe0e743d775b11a46e0e1765e00fde', 'result': {'fee_base': 10, 'fee_ref': 10, 'ledger_hash': '195FA396E1A1051B2FFBA4ABA2AE4729AD6B731C38218532485710AE26F4BA9C', 'ledger_index': 61584449, 'ledger_time': 666652131, 'reserve_base': 20000000, 'reserve_inc': 5000000, 'validated_ledgers': '60859375-61584449'}, 'status': 'success', 'type': 'response'}
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:08:57,213 | INFO | Ledger Stream Respons: LedgerIndex =  61584450
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:01,071 | INFO | Ledger Stream Respons: LedgerIndex =  61584451
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:04,779 | INFO | Ledger Stream Respons: LedgerIndex =  61584452
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:08,773 | INFO | Ledger Stream Respons: LedgerIndex =  61584453
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:12,562 | INFO | Ledger Stream Respons: LedgerIndex =  61584454
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:16,492 | INFO | Ledger Stream Respons: LedgerIndex =  61584455
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:20,291 | INFO | Ledger Stream Respons: LedgerIndex =  61584456
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:24,247 | INFO | Ledger Stream Respons: LedgerIndex =  61584457
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:28,241 | INFO | Ledger Stream Respons: LedgerIndex =  61584458
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:32,275 | INFO | Ledger Stream Respons: LedgerIndex =  61584459
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:36,038 | INFO | Ledger Stream Respons: LedgerIndex =  61584460
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:40,236 | INFO | Ledger Stream Respons: LedgerIndex =  61584461
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:44,197 | INFO | Ledger Stream Respons: LedgerIndex =  61584462
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:48,038 | INFO | Ledger Stream Respons: LedgerIndex =  61584463
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:52,041 | INFO | Ledger Stream Respons: LedgerIndex =  61584464
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:09:56,002 | INFO | Ledger Stream Respons: LedgerIndex =  61584465
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:00,026 | INFO | Ledger Stream Respons: LedgerIndex =  61584466
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:03,876 | INFO | Ledger Stream Respons: LedgerIndex =  61584467
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:07,678 | INFO | Ledger Stream Respons: LedgerIndex =  61584468
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:11,561 | INFO | Ledger Stream Respons: LedgerIndex =  61584469
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:15,552 | INFO | Ledger Stream Respons: LedgerIndex =  61584470
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:19,460 | INFO | Ledger Stream Respons: LedgerIndex =  61584471
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:23,386 | INFO | Ledger Stream Respons: LedgerIndex =  61584472
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:27,587 | INFO | Ledger Stream Respons: LedgerIndex =  61584473
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:31,081 | INFO | Ledger Stream Respons: LedgerIndex =  61584474
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:35,412 | INFO | Ledger Stream Respons: LedgerIndex =  61584475
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:40,101 | INFO | Ledger Stream Respons: LedgerIndex =  61584476
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:42,834 | INFO | Ledger Stream Respons: LedgerIndex =  61584477
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:46,534 | INFO | Ledger Stream Respons: LedgerIndex =  61584478
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:50,546 | INFO | Ledger Stream Respons: LedgerIndex =  61584479
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:54,689 | INFO | Ledger Stream Respons: LedgerIndex =  61584480
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:10:58,091 | INFO | Ledger Stream Respons: LedgerIndex =  61584481
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:01,930 | INFO | Ledger Stream Respons: LedgerIndex =  61584482
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:05,591 | INFO | Ledger Stream Respons: LedgerIndex =  61584483
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:09,518 | INFO | Ledger Stream Respons: LedgerIndex =  61584484
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:13,377 | INFO | Ledger Stream Respons: LedgerIndex =  61584485
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:17,356 | INFO | Ledger Stream Respons: LedgerIndex =  61584486
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:20,673 | INFO | Ledger Stream Respons: LedgerIndex =  61584487
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:24,685 | INFO | Ledger Stream Respons: LedgerIndex =  61584488
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:28,687 | INFO | Ledger Stream Respons: LedgerIndex =  61584489
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:32,756 | INFO | Ledger Stream Respons: LedgerIndex =  61584490
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:36,551 | INFO | Ledger Stream Respons: LedgerIndex =  61584491
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:40,578 | INFO | Ledger Stream Respons: LedgerIndex =  61584492
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:44,376 | INFO | Ledger Stream Respons: LedgerIndex =  61584493
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:48,384 | INFO | Ledger Stream Respons: LedgerIndex =  61584494
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:52,259 | INFO | Ledger Stream Respons: LedgerIndex =  61584495
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:11:56,243 | INFO | Ledger Stream Respons: LedgerIndex =  61584496
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:12:00,074 | INFO | Ledger Stream Respons: LedgerIndex =  61584497
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:12:04,110 | INFO | Ledger Stream Respons: LedgerIndex =  61584498
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:12:08,154 | INFO | Ledger Stream Respons: LedgerIndex =  61584499
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:12:11,943 | INFO | Ledger Stream Respons: LedgerIndex =  61584500
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:12:15,754 | INFO | Ledger Stream Respons: LedgerIndex =  61584501
